,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
152,BOS,BOS @ CLE,03/17/2021,L,240,110,40,88,45.5,10,38,26.3,20,29,69.0,15,25,40,19,10,9,12,27,-7
153,HOU,HOU vs. GSW,03/17/2021,L,240,94,33,80,41.3,7,27,25.9,21,40,52.5,8,40,48,19,7,3,16,15,-14
154,GSW,GSW @ HOU,03/17/2021,W,240,108,41,90,45.6,16,45,35.6,10,12,83.3,6,42,48,32,7,4,13,26,14
155,SAS,SAS @ CHI,03/17/2021,W,240,106,38,89,42.7,8,31,25.8,22,30,73.3,13,33,46,19,5,6,9,8,7
156,CHI,CHI vs. SAS,03/17/2021,L,240,99,40,91,44.0,11,33,33.3,8,9,88.9,14,37,51,24,6,3,17,22,-7
157,PHI,PHI vs. MIL,03/17/2021,L,265,105,43,109,39.4,14,41,34.1,5,8,62.5,13,46,59,28,14,7,20,23,-4
158,MIL,MIL @ PHI,03/17/2021,W,265,109,41,101,40.6,9,39,23.1,18,24,75.0,12,46,58,22,11,1,22,11,4
159,TOR,TOR @ DET,03/17/2021,L,240,112,37,86,43.0,12,40,30.0,26,34,76.5,10,20,30,27,7,6,9,26,-4
160,DET,DET vs. TOR,03/17/2021,W,240,116,38,75,50.7,12,29,41.4,28,32,87.5,13,41,54,23,8,5,21,30,4
161,IND,IND vs. BKN,03/17/2021,L,240,115,43,84,51.2,9,32,28.1,20,25,80.0,4,30,34,29,10,3,16,28,-9
162,BKN,BKN @ IND,03/17/2021,W,240,124,42,87,48.3,9,27,33.3,31,40,77.5,15,35,50,22,10,2,18,20,9
163,SAC,SAC @ WAS,03/17/2021,W,240,121,41,93,44.1,10,33,30.3,29,35,82.9,6,32,38,25,10,4,10,26,2
164,WAS,WAS vs. SAC,03/17/2021,L,240,119,46,94,48.9,4,25,16.0,23,28,82.1,10,42,52,25,5,2,15,25,-2
165,PHI,PHI vs. NYK,03/16/2021,W,240,99,37,90,41.1,11,32,34.4,14,19,73.7,12,38,50,19,8,10,12,22,3
166,NYK,NYK @ PHI,03/16/2021,L,240,96,37,84,44.0,8,24,33.3,14,22,63.6,9,38,47,19,7,5,13,23,-3
167,MIA,MIA vs. CLE,03/16/2021,W,240,113,42,85,49.4,10,27,37.0,19,21,90.5,16,32,48,30,11,5,15,18,15
168,CLE,CLE @ MIA,03/16/2021,L,240,98,39,86,45.3,10,35,28.6,10,14,71.4,15,27,42,23,7,6,14,19,-15
169,HOU,HOU vs. ATL,03/16/2021,L,240,107,42,88,47.7,13,34,38.2,10,13,76.9,10,27,37,27,6,6,13,19,-12
170,ATL,ATL @ HOU,03/16/2021,W,240,119,44,86,51.2,17,37,45.9,14,16,87.5,9,29,38,32,8,6,12,18,12
171,OKC,OKC @ CHI,03/16/2021,L,240,102,42,90,46.7,7,20,35.0,11,13,84.6,13,30,43,16,9,9,17,15,-21
172,CHI,CHI vs. OKC,03/16/2021,W,240,123,48,94,51.1,12,36,33.3,15,18,83.3,12,30,42,24,8,4,12,17,21
173,BOS,BOS vs. UTA,03/16/2021,L,240,109,48,98,49.0,10,29,34.5,3,4,75.0,16,29,45,28,8,5,14,18,-8
174,UTA,UTA @ BOS,03/16/2021,W,240,117,38,80,47.5,19,43,44.2,22,24,91.7,10,28,38,23,6,6,17,18,8
175,LAL,LAL vs. MIN,03/16/2021,W,240,137,50,87,57.5,13,26,50.0,24,28,85.7,10,33,43,37,3,3,14,16,16
176,MIN,MIN @ LAL,03/16/2021,L,240,121,47,90,52.2,11,35,31.4,16,22,72.7,8,26,34,28,9,6,12,21,-16
177,NOP,NOP @ POR,03/16/2021,L,240,124,46,88,52.3,16,33,48.5,16,20,80.0,10,31,41,38,8,3,16,24,-1
178,POR,POR vs. NOP,03/16/2021,W,240,125,38,73,52.1,18,43,41.9,31,31,100,4,28,32,20,8,8,17,19,1
179,DAL,DAL vs. LAC,03/15/2021,L,240,99,39,79,49.4,17,41,41.5,4,5,80.0,4,29,33,24,8,4,15,16,-10
180,LAC,LAC @ DAL,03/15/2021,W,240,109,43,86,50.0,14,32,43.8,9,11,81.8,9,37,46,23,10,0,9,12,10
181,LAL,LAL @ GSW,03/15/2021,W,240,128,49,78,62.8,11,27,40.7,19,25,76.0,7,39,46,36,9,3,19,25,31
182,GSW,GSW vs. LAL,03/15/2021,L,240,97,34,79,43.0,13,37,35.1,16,24,66.7,9,21,30,24,9,2,22,23,-31
183,SAS,SAS @ DET,03/15/2021,W,240,109,47,83,56.6,12,25,48.0,3,5,60.0,10,35,45,29,3,9,22,23,10
184,DET,DET vs. SAS,03/15/2021,L,240,99,39,83,47.0,7,25,28.0,14,25,56.0,8,26,34,22,9,5,10,9,-10
185,IND,IND @ DEN,03/15/2021,L,240,106,39,90,43.3,17,42,40.5,11,13,84.6,10,29,39,28,8,9,12,13,-15
186,DEN,DEN vs. IND,03/15/2021,W,240,121,45,97,46.4,15,28,53.6,16,19,84.2,17,37,54,32,7,7,10,15,15
187,NYK,NYK @ BKN,03/15/2021,L,240,112,37,92,40.2,15,42,35.7,23,27,85.2,13,27,40,16,9,2,9,22,-5
188,BKN,BKN vs. NYK,03/15/2021,W,240,117,44,76,57.9,12,29,41.4,17,22,77.3,3,38,41,29,3,6,15,19,5
189,PHX,PHX vs. MEM,03/15/2021,W,240,122,47,83,56.6,12,30,40.0,16,18,88.9,5,37,42,28,7,5,15,19,23
190,MEM,MEM @ PHX,03/15/2021,L,240,99,38,87,43.7,5,23,21.7,18,26,69.2,10,29,39,15,11,0,11,17,-23
191,SAC,SAC @ CHA,03/15/2021,L,240,116,48,86,55.8,9,31,29.0,11,17,64.7,4,40,44,28,7,6,12,19,-6
